NOME,E-MAIL,TELEFONE,URL DO SITE,SERVIÇOS,DATA,WHATSAPP
"Restaurante Vila Paraíso. Raízes Paulistas em Joaquim Egídio","eventos@restaurantevilaparaiso.com.br","(19) 3298-6913","http://restaurantevilaparaiso.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Campanha de lançamento","26/05/2026",""
"Restaurante Sabores do Chef","","(15) 98149-6062","https://www.saboresdochefsorocaba.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades, Campanha de lançamento","26/05/2026","(15) 98149-6062"
"10 Melhores Churrascarias em Sorocaba SP","","(61) 98288-4228","https://comerciosaopaulo.com.br/10-melhores-churrascarias-em-sorocaba-sp/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades, Campanha de lançamento","26/05/2026","(61) 98288-4228"
"10 Melhores: Churrascarias","","(15) 3227-7479","https://unilocal.com.br/c/brasil/sp/sorocaba/churrascarias","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades","26/05/2026",""
"Restaurante Floresta Negra","restflorestanegra@gmail.com","(15) 99168-5988","https://restauranteflorestanegra.com.br/","Vídeo institucional e cardápio, Conteúdo para redes sociais","26/05/2026","(15) 99168-5988"
"Tutto Bene","","(15) 3231-8046","https://www.cantinatuttobene.com.br/tutto-bene/","Reels de bastidores e novidades, Conteúdo para redes sociais","26/05/2026","(15) 3231-8046"
"Sans Pietro Restaurante e Choperia","","(16) 3441-4101","https://sanspietro.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades, Conteúdo para redes sociais","26/05/2026","(16) 3441-4101"
"Una Gastronomia","","(16) 3102-7589","https://unaemporioegastronomia.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Conteúdo para redes sociais","26/05/2026",""
"Mimo de Vó","sac@mimodevo.com.br","(16) 99441-9009","https://mimodevo.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades, Campanha de lançamento","26/05/2026","(16) 99441-9009"
"Cardápio","","(16) 99632-6300","https://www.tarantellarp.com.br/cardapio","Reels de bastidores e novidades, Conteúdo para redes sociais","26/05/2026","(16) 99632-6300"
"Restaurante Travessa","98226-0003comercial@restaurantetravessa.com.br","(16) 3610-9438","https://www.restaurantetravessa.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Conteúdo para redes sociais","26/05/2026","(16) 98226-0003"
"3 lugares para comer um bom churrasco em Ribeirão","","(16) 3911-9009","https://portalzumm.com.br/3-lugares-para-comer-um-bom-churrasco-em-ribeirao/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades","26/05/2026",""
"Churrascarias, Rodízio e Restaurantes em Ribeirão Preto","","(16) 3629-9582","https://www.encontraribeiraopreto.com.br/c/churrascarias-em-ribeirao-preto.shtml","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades","26/05/2026",""
"Restaurante e Pizzaria em Santos SP","","(13) 3261-7202","https://restaurantetrianon.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades, Conteúdo para redes sociais","26/05/2026",""
"Pizzaria e Esfiharia Santa Arena","","(13) 97424-7729","https://santaarena.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Conteúdo para redes sociais","26/05/2026","(13) 97424-7729"
"Restaurante de comidas típicas brasileira em Santos","","(13) 3286-1178","https://donaangola.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades, Conteúdo para redes sociais","26/05/2026","(13) 3286-1178"
"Bar e Restaurante em Santos","","(13) 3227-2625","https://restaurantediferente.com.br/","Conteúdo para redes sociais","26/05/2026",""
"dboaemcasa","","(13) 99640-3033","https://dboaemcasa.com.br/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Campanha de lançamento, Conteúdo para redes sociais","26/05/2026","(13) 99640-3033"
"Churrascarias, Rodízio e Restaurantes em Santos","","(13) 3222-2259","https://www.encontrasantos.com.br/c/churrascarias-em-santos.shtml","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades","26/05/2026",""
"diariodolitoral","","(13) 99129-1571","https://www.diariodolitoral.com.br/diario-mais/vai-a-praia-conheca-3-churrascarias-de-dar-agua-na-boca-em-santos/199949/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Conteúdo para redes sociais","26/05/2026","(13) 99129-1571"
"15 boas opções para comer um bom churrasco em Santos","luiza.carvalho@juicysantos.com.br","","https://www.juicysantos.com.br/comida/churrasco-em-santos/","Vídeo institucional e cardápio, Fotos profissionais de pratos, Campanha de lançamento, Conteúdo para redes sociais","26/05/2026",""
"Melhores churrascarias de Santos","contato@r3imov.com.br","(13) 3233-1410","https://r3imoveis.com.br/blog/as-7-melhores-churrascarias-de-santos-para-levar-a-familia","Vídeo institucional e cardápio, Fotos profissionais de pratos, Reels de bastidores e novidades, Conteúdo para redes sociais","26/05/2026","(13) 3233-1410"
"Churrascaria em Santos Baixada Santista SP","","(13) 3223-9481","https://churrascariaveneza.com.br/","Fotos profissionais de pratos, Reels de bastidores e novidades, Conteúdo para redes sociais","26/05/2026",""
"DELIVERY","antoniosrestaurante@gmail.com","(48) 3284-5736","https://www.antoniosrestaurante.com.br/delivey","Conteúdo para redes sociais","26/05/2026","(48) 3284-5736"
